feature,source,T1,T2,T3,T4,T5,T6,T7,T8,any_type
nuts2_name,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
country_code,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
gdp_per_capita_pps,EU-Innovation-Panel Gold,True,True,True,True,True,True,True,True,True
population,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
hrst_per_1000,EU-Innovation-Panel Gold,True,True,True,False,False,False,True,True,True
tertiary_enrolment_rate,EU-Innovation-Panel Gold,True,True,False,False,False,False,True,True,True
employment_rate,EU-Innovation-Panel Gold,True,True,True,True,True,True,True,True,True
broadband_penetration_pct,EU-Innovation-Panel Gold,True,False,False,False,True,False,False,True,True
rd_expenditure_pct_gdp,EU-Innovation-Panel Gold,True,True,True,True,False,True,True,True,True
business_rd_pct_gdp,EU-Innovation-Panel Gold,True,True,True,True,False,True,True,True,True
epo_patents_per_mio_pop,EU-Innovation-Panel Gold,True,True,True,True,False,False,True,True,True
net_migration_rate,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
hi_tech_employment_pct,EU-Innovation-Panel Gold,True,True,True,False,False,False,True,True,True
gva_ict_share,EU-Innovation-Panel Gold,True,False,False,False,True,False,False,False,True
population_density,EU-Innovation-Panel Gold,False,False,True,False,True,True,False,False,True
enterprise_internet_use,EU-Innovation-Panel Gold,True,False,False,False,True,False,False,False,True
lq_nace_j62j63,EU-Innovation-Panel Gold,True,False,False,False,True,False,False,False,True
lq_nace_c21_m72,EU-Innovation-Panel Gold,False,True,False,False,False,False,False,False,True
lq_nace_c26,EU-Innovation-Panel Gold,False,False,True,False,False,False,True,False,True
lq_nace_d35_clean,EU-Innovation-Panel Gold,False,False,False,True,True,True,False,False,True
gdp_per_capita_pps_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
population_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
hrst_per_1000_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
tertiary_enrolment_rate_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
employment_rate_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
rd_expenditure_pct_gdp_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
net_migration_rate_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
hi_tech_employment_pct_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
population_density_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
lq_nace_j62j63_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
lq_nace_c21_m72_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
lq_nace_c26_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
lq_nace_d35_clean_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
broadband_penetration_pct_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
business_rd_pct_gdp_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
epo_patents_per_mio_pop_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
gva_ict_share_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
enterprise_internet_use_imputed_flag,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
ref_year_cost,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
ref_year_talent,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
ref_year_infra,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
ref_year_cluster,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
data_quality_score,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
business_rd_pct_gdp_log1p,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
epo_patents_per_mio_pop_log1p,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
gdp_per_capita_pps_log1p,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
gva_ict_share_log1p,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
lq_nace_c21_m72_log1p,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
lq_nace_c26_log1p,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
lq_nace_j62j63_log1p,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
rd_expenditure_pct_gdp_log1p,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
score_cost,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
score_talent,EU-Innovation-Panel Gold,True,True,True,False,False,False,True,True,True
score_infra,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
score_cluster,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
score_cost_minmax,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
score_talent_minmax,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
score_infra_minmax,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
score_cluster_minmax,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
is_transition_region,EU-Innovation-Panel Gold,False,False,False,True,False,False,False,False,True
is_insufficient_data,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
dimensionality_warning,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
archetype_id,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
archetype_label,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
distance_to_centroid,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
silhouette_sample,EU-Innovation-Panel Gold,False,False,False,False,False,False,False,False,False
