feature,source,year,nuts_level
electricity_price_eur_kwh,nrg_pc_205,2025-S2,country
renewable_energy_share_pct,nrg_ind_ren,2024,country
rail_freight_ktonnes,tran_r_rapa,2021,nuts2
port_throughput_ktonnes,mar_go_aa,2025,country
gerd_gov_pct_gdp,rd_e_gerdsc,2024,country
gerd_hes_pct_gdp,rd_e_gerdsc,2024,country
gerd_def_pct_gdp,rd_e_gerdsc,2024,country
ultrafast_broadband_pct,isoc_r_broad_h,2021,nuts2
artificial_land_pct,lan_lcv_ovw,2022,nuts2
doing_business_score,doing_business_score,2020-2022,country
cit_rate_pct,cit_rate_pct,2020-2022,country
ntc_import_mw,ntc_import_mw,2020-2022,country
water_exploitation_index,water_exploitation_index,2020-2022,country
nuclear_capacity_mw,iaea_pris,2024,nuts2
eurohpc_proximity_score,eurohpc_sites,2024,nuts2
quantum_programme_tier,quantum_flags,2024,country
nuclear_policy,nuclear_policy,2024,country
haleu_smr_eligible,nuclear_policy,2024,country
