type_id,country_code,n_tier1,n_tier2,n_total
T1,DE,6,7,13
T1,NL,2,7,9
T1,SE,4,1,5
T1,FI,2,2,4
T1,BE,2,1,3
T1,DK,2,1,3
T1,ES,0,2,2
T1,AT,0,1,1
T1,CZ,1,0,1
T1,FR,1,0,1
T1,HR,0,1,1
T1,HU,1,0,1
T1,IE,1,0,1
T1,LT,1,0,1
T1,LU,0,1,1
T1,PL,1,0,1
T1,SK,1,0,1
T2,DE,3,8,11
T2,SE,4,4,8
T2,DK,2,3,5
T2,FI,1,3,4
T2,BE,2,1,3
T2,NL,0,3,3
T2,FR,1,1,2
T2,AT,1,0,1
T2,CZ,1,0,1
T2,EE,0,1,1
T2,HR,0,1,1
T2,HU,1,0,1
T2,IE,0,1,1
T2,LT,1,0,1
T2,LU,0,1,1
T2,PL,1,0,1
T2,SK,1,0,1
T3,DE,5,10,15
T3,NL,2,8,10
T3,ES,4,5,9
T3,FR,2,7,9
T3,SE,8,0,8
T3,FI,5,0,5
T3,BE,2,2,4
T3,AT,0,3,3
T3,DK,1,1,2
T3,IE,1,1,2
T3,PL,0,2,2
T3,CZ,1,0,1
T3,EE,0,1,1
T3,HR,0,1,1
T3,HU,1,0,1
T3,LT,1,0,1
T3,LU,0,1,1
T4,EL,2,7,9
T4,AT,2,6,8
T4,ES,8,0,8
T4,SE,8,0,8
T4,CZ,6,1,7
T4,BG,5,1,6
T4,RO,2,4,6
T4,FI,4,1,5
T4,PT,5,0,5
T4,FR,3,0,3
T4,HR,3,0,3
T4,SK,1,2,3
T4,DE,0,1,1
T4,DK,0,1,1
T4,EE,0,1,1
T4,LT,1,0,1
T4,LV,1,0,1
T4,SI,1,0,1
T5,SE,8,0,8
T5,FI,5,0,5
T5,DK,0,4,4
T5,DE,0,2,2
T5,AT,0,1,1
T5,EE,0,1,1
T6,FR,10,3,13
T6,BE,2,9,11
T6,SE,4,4,8
T6,FI,0,4,4
T6,BG,0,1,1
T6,NL,0,1,1
T7,DE,3,7,10
T7,SE,2,2,4
T7,AT,0,3,3
T7,DK,1,2,3
T7,BE,1,1,2
T7,IE,0,2,2
T7,CZ,0,1,1
T7,FI,1,0,1
T7,FR,0,1,1
T7,HU,0,1,1
T7,LT,0,1,1
T7,NL,0,1,1
T7,PL,0,1,1
T8,DE,30,8,38
T8,FR,4,15,19
T8,NL,1,11,12
T8,IT,1,8,9
T8,SE,8,0,8
T8,ES,1,6,7
T8,FI,5,0,5
T8,BE,0,2,2
T8,DK,1,1,2
T8,AT,0,1,1
T8,CZ,0,1,1
T8,LU,1,0,1
T8,PL,1,0,1
