nuts2_code,suitability_T1,suitability_T2,suitability_T3,suitability_T4,suitability_T5,suitability_T6,suitability_T7,suitability_T8,shortlist_T1,shortlist_T2,shortlist_T3,shortlist_T4,shortlist_T5,shortlist_T6,shortlist_T7,shortlist_T8,dominant_type,dominant_type_score,n_types_above_threshold,multi_type_flag,hyper_diverse_flag,co_spec_T1_T2,co_spec_T1_T5,co_spec_T3_T7,co_spec_T4_T6,co_spec_T5_T6,co_spec_T6_T8,co_spec_T1_T8,uncertainty_T1,uncertainty_T2,uncertainty_T3,uncertainty_T4,uncertainty_T5,uncertainty_T6,uncertainty_T7,uncertainty_T8,nuts2_name,country_code,archetype4_id,archetype4_label,archetype_id,archetype_label,is_transition_region,haleu_smr_eligible,nuclear_policy,tier_T1,ci_lo_T1,ci_hi_T1,tier_T2,ci_lo_T2,ci_hi_T2,tier_T3,ci_lo_T3,ci_hi_T3,tier_T4,ci_lo_T4,ci_hi_T4,tier_T5,ci_lo_T5,ci_hi_T5,tier_T6,ci_lo_T6,ci_hi_T6,tier_T7,ci_lo_T7,ci_hi_T7,tier_T8,ci_lo_T8,ci_hi_T8,sr_T1,sr_T2,sr_T3,sr_T4,sr_T5,sr_T6,sr_T7,sr_T8
AT11,0.44055010527060995,0.5035236017797137,0.3422166351100218,0.7481094984383829,0.4971841785644775,0.2749349748662874,0.43089377980561905,0.48867138743975674,False,False,False,True,False,False,False,False,T4,0.7481094984383829,1,False,False,False,False,False,False,False,False,False,0.08028335301062574,0.05144628099173554,0.24586776859504134,0.16336088154269973,0.09090909090909093,0.6866391184573003,0.05396208070004861,0.4509297520661157,Burgenland,AT,3,Emerging capacity regions,1,Advanced innovation regions,0.0,False,BANNED,,0.4325,0.4486,,0.4984,0.5087,,0.3176,0.3668,T1_high_index,0.7318,0.7644,,0.4881,0.5063,,0.2063,0.3436,,0.4255,0.4363,,0.4436,0.5338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AT12,0.47995435298304157,0.559334349880797,0.4069649782439073,0.632269182198283,0.4760731548687154,0.28322126376632417,0.5197755053431463,0.5284656754376189,False,False,False,True,False,False,False,False,T4,0.632269182198283,1,False,False,False,False,False,False,False,False,False,0.08028335301062574,0.05144628099173554,0.24586776859504134,0.16336088154269973,0.09090909090909093,0.6866391184573003,0.05396208070004861,0.4509297520661157,Niederösterreich,AT,0,Established industrial regions,1,Advanced innovation regions,0.0,False,BANNED,,0.4719,0.488,,0.5542,0.5645,,0.3824,0.4316,T2_candidate,0.6159,0.6486,,0.467,0.4852,,0.2146,0.3519,,0.5144,0.5252,,0.4834,0.5736,1.0,1.0,0.8889,1.0,0.875,1.0,1.0,1.0
AT13,0.6339975588587293,0.70498546649813,0.5316230390915299,0.5954280719790489,0.5810289797091901,0.3295092846934704,0.6153623795093901,0.5798804438292042,True,True,False,False,False,False,True,False,T2,0.70498546649813,3,True,False,True,False,False,False,False,False,False,0.08028335301062574,0.05144628099173554,0.24586776859504134,0.16336088154269973,0.09090909090909093,0.6866391184573003,0.05396208070004861,0.4509297520661157,Wien,AT,2,Frontier innovation regions,1,Advanced innovation regions,0.0,False,BANNED,T2_candidate,0.626,0.642,T1_high_index,0.6998,0.7101,,0.507,0.5562,,0.5791,0.6118,,0.5719,0.5901,,0.2608,0.3982,T2_candidate,0.61,0.6208,,0.5348,0.625,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0
AT21,0.4538752792226561,0.5234289485993726,0.5852789821900798,0.7199419282746825,0.47436362509712204,0.2773162067002042,0.6186797928796914,0.5129836979512891,False,False,False,True,False,False,True,False,T4,0.7199419282746825,2,True,False,False,False,False,False,False,False,False,0.08028335301062574,0.05144628099173554,0.24586776859504134,0.16336088154269973,0.09090909090909093,0.6866391184573003,0.05396208070004861,0.4509297520661157,Kärnten,AT,0,Established industrial regions,1,Advanced innovation regions,0.0,False,BANNED,,0.4458,0.4619,,0.5183,0.5286,,0.5607,0.6099,T1_high_index,0.7036,0.7363,,0.4653,0.4835,,0.2087,0.346,T2_candidate,0.6133,0.6241,,0.4679,0.5581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AT22,0.5337319125879465,0.5915017532152084,0.5057678522331092,0.6331490468811972,0.46350068864259375,0.2882275245010378,0.6257773729565387,0.5515592556536867,False,False,False,True,False,False,True,False,T4,0.6331490468811972,2,True,False,False,False,False,False,False,False,False,0.08028335301062574,0.05144628099173554,0.24586776859504134,0.16336088154269973,0.09090909090909093,0.6866391184573003,0.05396208070004861,0.4509297520661157,Steiermark,AT,0,Established industrial regions,1,Advanced innovation regions,0.0,False,BANNED,,0.5257,0.5418,,0.5864,0.5966,,0.4812,0.5304,T2_candidate,0.6168,0.6495,,0.4544,0.4726,,0.2196,0.3569,T2_candidate,0.6204,0.6312,,0.5065,0.5967,0.9,1.0,1.0,1.0,0.875,1.0,1.0,0.8571
AT31,0.5437028790193619,0.5861279102571664,0.40690603261901004,0.6552359912127402,0.4728748146822853,0.2888404551143227,0.5673686792408204,0.5635982379926106,False,False,False,True,False,False,False,False,T4,0.6552359912127402,1,False,False,False,False,False,False,False,False,False,0.08028335301062574,0.05144628099173554,0.24586776859504134,0.16336088154269973,0.09090909090909093,0.6866391184573003,0.05396208070004861,0.4509297520661157,Oberösterreich,AT,0,Established industrial regions,1,Advanced innovation regions,0.0,False,BANNED,,0.5357,0.5517,,0.581,0.5913,,0.3823,0.4315,T2_candidate,0.6389,0.6716,,0.4638,0.482,,0.2202,0.3575,,0.562,0.5728,,0.5185,0.6087,0.9,1.0,0.8889,1.0,0.75,1.0,1.0,0.8571
AT32,0.46132069362948586,0.5312719851709948,0.4485642458163739,0.6635981327818958,0.5476455243682989,0.2947517493645279,0.519052508819768,0.5294352675252926,False,False,False,True,False,False,False,False,T4,0.6635981327818958,1,False,False,False,False,False,False,False,False,False,0.08028335301062574,0.05144628099173554,0.24586776859504134,0.16336088154269973,0.09090909090909093,0.6866391184573003,0.05396208070004861,0.4509297520661157,Salzburg,AT,0,Established industrial regions,1,Advanced innovation regions,0.0,False,BANNED,,0.4533,0.4693,,0.5261,0.5364,,0.424,0.4732,T2_candidate,0.6473,0.6799,,0.5386,0.5567,,0.2261,0.3634,,0.5137,0.5244,,0.4843,0.5745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AT33,0.44247078102885923,0.5255583993017297,0.5350906826402468,0.6586048628614097,0.4838163679464409,0.2833359495651349,0.5986578819882272,0.5235631411023224,False,False,False,True,False,False,False,False,T4,0.6586048628614097,1,False,False,False,False,False,False,False,False,False,0.08028335301062574,0.05144628099173554,0.24586776859504134,0.16336088154269973,0.09090909090909093,0.6866391184573003,0.05396208070004861,0.4509297520661157,Tirol,AT,0,Established industrial regions,1,Advanced innovation regions,0.0,False,BANNED,,0.4344,0.4505,,0.5204,0.5307,,0.5105,0.5597,T2_candidate,0.6423,0.6749,,0.4747,0.4929,,0.2147,0.352,,0.5933,0.6041,,0.4785,0.5687,0.9,1.0,1.0,1.0,0.875,1.0,1.0,0.8571
AT34,0.5903891599345606,0.59889023119519,0.3699224766790305,0.6139957364990597,0.6159940259855323,0.2785726146030497,0.5641793335603915,0.6513105139411319,False,False,False,True,True,False,False,True,T8,0.6513105139411319,3,True,False,False,False,False,False,False,False,False,0.08028335301062574,0.05144628099173554,0.24586776859504134,0.16336088154269973,0.09090909090909093,0.6866391184573003,0.05396208070004861,0.4509297520661157,Vorarlberg,AT,0,Established industrial regions,1,Advanced innovation regions,0.0,False,BANNED,,0.5824,0.5984,,0.5937,0.604,,0.3453,0.3945,T2_candidate,0.5977,0.6303,T2_candidate,0.6069,0.6251,,0.2099,0.3472,,0.5588,0.5696,T2_candidate,0.6062,0.6964,1.0,0.8889,1.0,1.0,1.0,0.8333,1.0,1.0
BE10,0.6182702284441246,0.6535851328364335,0.6812110434721117,0.2224597298450225,0.4523722420387078,0.6837992159341988,0.5850528503470606,0.5716618249085933,True,True,True,False,False,True,False,False,T6,0.6837992159341988,4,True,True,True,False,False,False,False,False,False,0.08028335301062574,0.05144628099173554,0.24586776859504134,0.16336088154269973,0.09090909090909093,0.6866391184573003,0.05396208070004861,0.4509297520661157,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE,2,Frontier innovation regions,1,Advanced innovation regions,0.0,True,NEUTRAL,T2_candidate,0.6102,0.6263,T2_candidate,0.6484,0.6587,T2_candidate,0.6566,0.7058,,0.2061,0.2388,,0.4433,0.4615,T2_candidate,0.6151,0.7525,,0.5797,0.5904,,0.5266,0.6168,0.9,0.8889,0.8889,0.625,0.625,1.0,0.875,1.0
