type_id,corridor_id,nuts2_code,corridor_size,n_countries,countries,cross_border
T1,T1_C00,DE11,5,1,DE,False
T1,T1_C00,DEB3,5,1,DE,False
T1,T1_C00,DE25,5,1,DE,False
T1,T1_C00,DE12,5,1,DE,False
T1,T1_C00,DE21,5,1,DE,False
T1,T1_C01,SE23,4,1,SE,False
T1,T1_C01,SE12,4,1,SE,False
T1,T1_C01,SE11,4,1,SE,False
T1,T1_C01,SE22,4,1,SE,False
T1,T1_C08,BE31,2,1,BE,False
T1,T1_C08,BE24,2,1,BE,False
T2,T2_C00,SE23,4,1,SE,False
T2,T2_C00,SE12,4,1,SE,False
T2,T2_C00,SE11,4,1,SE,False
T2,T2_C00,SE22,4,1,SE,False
T2,T2_C08,BE31,2,1,BE,False
T2,T2_C08,BE24,2,1,BE,False
T3,T3_C00,SE21,12,2,FI+SE,True
T3,T3_C00,FI1D,12,2,FI+SE,True
T3,T3_C00,SE11,12,2,FI+SE,True
T3,T3_C00,SE22,12,2,FI+SE,True
T3,T3_C00,SE31,12,2,FI+SE,True
T3,T3_C00,FI1C,12,2,FI+SE,True
T3,T3_C00,SE12,12,2,FI+SE,True
T3,T3_C00,FI19,12,2,FI+SE,True
T3,T3_C00,SE32,12,2,FI+SE,True
T3,T3_C00,SE23,12,2,FI+SE,True
T3,T3_C00,SE33,12,2,FI+SE,True
T3,T3_C00,FI1B,12,2,FI+SE,True
T3,T3_C11,ES21,2,1,ES,False
T3,T3_C11,ES22,2,1,ES,False
T3,T3_C12,DE14,2,1,DE,False
T3,T3_C12,DE13,2,1,DE,False
T3,T3_C13,NL33,2,1,NL,False
T3,T3_C13,NL32,2,1,NL,False
T3,T3_C14,DE23,2,1,DE,False
T3,T3_C14,DE21,2,1,DE,False
T4,T4_C00,CZ05,5,1,CZ,False
T4,T4_C00,CZ06,5,1,CZ,False
T4,T4_C00,CZ02,5,1,CZ,False
T4,T4_C00,CZ03,5,1,CZ,False
T4,T4_C00,CZ04,5,1,CZ,False
T4,T4_C01,SE21,12,2,FI+SE,True
T4,T4_C01,FI1D,12,2,FI+SE,True
T4,T4_C01,SE11,12,2,FI+SE,True
T4,T4_C01,SE22,12,2,FI+SE,True
T4,T4_C01,SE31,12,2,FI+SE,True
T4,T4_C01,FI1C,12,2,FI+SE,True
T4,T4_C01,SE12,12,2,FI+SE,True
T4,T4_C01,FI19,12,2,FI+SE,True
T4,T4_C01,SE32,12,2,FI+SE,True
T4,T4_C01,SE23,12,2,FI+SE,True
T4,T4_C01,SE33,12,2,FI+SE,True
T4,T4_C01,FI1B,12,2,FI+SE,True
T4,T4_C02,ES61,9,2,ES+PT,True
T4,T4_C02,PT18,9,2,ES+PT,True
T4,T4_C02,PT16,9,2,ES+PT,True
T4,T4_C02,PT17,9,2,ES+PT,True
T4,T4_C02,ES62,9,2,ES+PT,True
T4,T4_C02,PT11,9,2,ES+PT,True
T4,T4_C02,ES43,9,2,ES+PT,True
T4,T4_C02,ES52,9,2,ES+PT,True
T4,T4_C02,ES42,9,2,ES+PT,True
T4,T4_C06,BG34,6,2,BG+RO,True
T4,T4_C06,RO31,6,2,BG+RO,True
T4,T4_C06,BG42,6,2,BG+RO,True
T4,T4_C06,BG41,6,2,BG+RO,True
T4,T4_C06,BG31,6,2,BG+RO,True
T4,T4_C06,BG33,6,2,BG+RO,True
T4,T4_C07,HR02,6,3,AT+HR+SI,True
T4,T4_C07,HR03,6,3,AT+HR+SI,True
T4,T4_C07,SI03,6,3,AT+HR+SI,True
T4,T4_C07,HR06,6,3,AT+HR+SI,True
T4,T4_C07,AT21,6,3,AT+HR+SI,True
T4,T4_C07,AT11,6,3,AT+HR+SI,True
T4,T4_C09,LV00,2,2,LT+LV,True
T4,T4_C09,LT02,2,2,LT+LV,True
T5,T5_C00,SE21,12,2,FI+SE,True
T5,T5_C00,FI1D,12,2,FI+SE,True
T5,T5_C00,SE22,12,2,FI+SE,True
T5,T5_C00,SE11,12,2,FI+SE,True
T5,T5_C00,SE31,12,2,FI+SE,True
T5,T5_C00,FI1C,12,2,FI+SE,True
T5,T5_C00,SE12,12,2,FI+SE,True
T5,T5_C00,FI19,12,2,FI+SE,True
T5,T5_C00,SE32,12,2,FI+SE,True
T5,T5_C00,SE23,12,2,FI+SE,True
T5,T5_C00,SE33,12,2,FI+SE,True
T5,T5_C00,FI1B,12,2,FI+SE,True
T6,T6_C00,SE23,4,1,SE,False
T6,T6_C00,SE12,4,1,SE,False
T6,T6_C00,SE21,4,1,SE,False
T6,T6_C00,SE11,4,1,SE,False
T6,T6_C02,FRJ2,7,1,FR,False
T6,T6_C02,FRI1,7,1,FR,False
T6,T6_C02,FRC1,7,1,FR,False
T6,T6_C02,FRB0,7,1,FR,False
T6,T6_C02,FRD2,7,1,FR,False
T6,T6_C02,FRD1,7,1,FR,False
T6,T6_C02,FRI2,7,1,FR,False
T7,T7_C00,DE11,2,1,DE,False
