nuts2_code,lisa_i,p_sim,quadrant,type_id
CZ05,0.1374,0.292,ns,T1
CZ06,0.0677,0.18,ns,T1
CZ07,0.2687,0.105,ns,T1
CZ08,0.2548,0.138,ns,T1
DE11,2.5695,0.004,HH,T1
DE12,2.1181,0.002,HH,T1
DE13,1.0481,0.036,HH,T1
DE14,1.6953,0.004,HH,T1
DE21,1.3574,0.057,ns,T1
DE22,0.1267,0.054,ns,T1
DE23,0.4079,0.138,ns,T1
DE24,0.1397,0.189,ns,T1
DE25,1.7488,0.002,HH,T1
DE26,0.8386,0.002,HH,T1
DE27,0.9839,0.001,HH,T1
DE30,0.2305,0.417,ns,T1
DEC0,-0.0124,0.15,ns,T1
DED2,-0.1262,0.258,ns,T1
DED4,-0.0032,0.434,ns,T1
DED5,0.049,0.404,ns,T1
DEE0,-0.1243,0.177,ns,T1
DEF0,0.1545,0.135,ns,T1
DEG0,0.0682,0.183,ns,T1
DK01,1.8901,0.243,ns,T1
AT31,0.2963,0.106,ns,T1
AT32,0.0816,0.132,ns,T1
AT33,0.0294,0.19,ns,T1
CY00,0.0,0.001,HL,T1
CZ01,-0.2988,0.467,ns,T1
CZ02,0.0184,0.399,ns,T1
CZ03,-0.0242,0.44,ns,T1
CZ04,-0.0913,0.416,ns,T1
DK03,0.7961,0.109,ns,T1
DK04,1.1207,0.138,ns,T1
DK05,0.9028,0.09,ns,T1
EE00,0.0101,0.487,ns,T1
EL30,-0.0638,0.09,ns,T1
EL41,-0.0,0.001,LL,T1
DE40,0.0177,0.372,ns,T1
DE50,0.1083,0.266,ns,T1
DE60,0.3502,0.358,ns,T1
DE71,1.0124,0.024,HH,T1
DE72,0.2154,0.197,ns,T1
DE73,0.0375,0.039,HH,T1
DE80,-0.0201,0.433,ns,T1
DE91,0.2608,0.248,ns,T1
DE92,0.3449,0.158,ns,T1
AT11,0.0331,0.185,ns,T1
AT12,0.0975,0.144,ns,T1
AT13,0.284,0.355,ns,T1
AT21,-0.0044,0.473,ns,T1
AT22,0.1023,0.32,ns,T1
ES51,0.179,0.338,ns,T1
ES52,0.0156,0.391,ns,T1
AT34,0.5787,0.114,ns,T1
BE10,1.3999,0.09,ns,T1
BE21,0.7227,0.02,HH,T1
BE22,0.1865,0.01,HH,T1
BE23,0.3357,0.115,ns,T1
BE24,0.8175,0.069,ns,T1
BE25,0.0408,0.351,ns,T1
BE31,0.404,0.311,ns,T1
BE32,-0.1191,0.172,ns,T1
BE33,0.0934,0.018,HH,T1
BE34,-0.0,0.499,ns,T1
BE35,-0.0349,0.389,ns,T1
BG31,1.903,0.003,LL,T1
BG32,1.6504,0.001,LL,T1
BG33,0.7966,0.005,LL,T1
BG34,1.2711,0.01,LL,T1
BG41,-0.4141,0.015,HL,T1
BG42,0.9226,0.032,LL,T1
LT02,0.0044,0.494,ns,T1
LU00,-0.111,0.438,ns,T1
LV00,0.0039,0.317,ns,T1
MT00,0.0,0.001,HL,T1
NL11,0.4761,0.207,ns,T1
EL42,-0.0,0.001,LL,T1
EL43,-0.0,0.001,LL,T1
EL51,0.3576,0.265,ns,T1
EL52,0.2731,0.103,ns,T1
EL53,0.8196,0.08,ns,T1
EL54,0.9837,0.023,LL,T1
DK02,1.8901,0.009,HH,T1
ITG2,-0.0,0.001,LL,T1
ITH1,0.4064,0.189,ns,T1
ITH2,0.6198,0.054,ns,T1
ITH3,0.4154,0.102,ns,T1
ITH4,0.0332,0.453,ns,T1
ITH5,0.4036,0.004,LL,T1
ITI1,0.8107,0.018,LL,T1
ITI2,1.0718,0.054,ns,T1
ITI3,1.0391,0.018,LL,T1
ITI4,0.5638,0.001,LL,T1
LT01,-0.2911,0.461,ns,T1
DE93,0.0972,0.132,ns,T1
DE94,0.042,0.037,HH,T1
DEA1,0.46,0.046,HH,T1
DEA2,0.3616,0.215,ns,T1
DEA3,0.1304,0.059,ns,T1
DEA4,0.2469,0.172,ns,T1
DEA5,0.132,0.109,ns,T1
DEB1,0.0928,0.034,HH,T1
DEB2,-0.0847,0.148,ns,T1
DEB3,0.7108,0.124,ns,T1
FRB0,0.0033,0.334,ns,T1
FRC1,-0.1796,0.307,ns,T1
FRC2,0.0544,0.299,ns,T1
FRD1,0.0284,0.438,ns,T1
FRD2,-0.0711,0.33,ns,T1
FRE1,0.0089,0.376,ns,T1
FRE2,-0.0235,0.444,ns,T1
FRF1,-0.0245,0.045,LH,T1
FRF2,0.0553,0.399,ns,T1
FRF3,-0.1006,0.272,ns,T1
FRG0,-0.0088,0.353,ns,T1
FRH0,-0.0058,0.387,ns,T1
FRI1,0.0549,0.329,ns,T1
FRI2,-0.0988,0.423,ns,T1
FRI3,0.0521,0.367,ns,T1
FRJ1,-0.0896,0.169,ns,T1
FRJ2,-0.0025,0.499,ns,T1
FRK1,0.0156,0.424,ns,T1
FRK2,-0.346,0.083,ns,T1
FRL0,-0.0869,0.253,ns,T1
FRM0,-0.0,0.001,LL,T1
FRY1,-0.0,0.001,LL,T1
FRY2,-0.0,0.001,LL,T1
FRY3,-0.0,0.001,LL,T1
FRY4,-0.0,0.001,LL,T1
FRY5,-0.0,0.001,LL,T1
HR03,0.1383,0.374,ns,T1
HR02,0.6865,0.056,ns,T1
HU11,0.221,0.447,ns,T1
HU12,-0.0516,0.171,ns,T1
HU21,0.3481,0.092,ns,T1
HU22,0.0859,0.365,ns,T1
ITF6,3.626,0.029,LL,T1
ITG1,-0.0,0.001,LL,T1
EL61,0.8357,0.016,LL,T1
EL62,-0.0,0.001,LL,T1
EL63,1.1243,0.029,LL,T1
EL64,0.6231,0.109,ns,T1
EL65,0.5556,0.217,ns,T1
ES11,-0.0072,0.412,ns,T1
ES12,0.0327,0.408,ns,T1
ES13,0.1036,0.234,ns,T1
ES21,0.2158,0.317,ns,T1
ES22,0.1881,0.237,ns,T1
ES23,0.0027,0.198,ns,T1
ES24,0.0693,0.21,ns,T1
ES30,-0.0828,0.46,ns,T1
ES41,0.0025,0.462,ns,T1
ES42,-0.0317,0.392,ns,T1
ES43,0.2121,0.093,ns,T1
SE12,2.3725,0.001,HH,T1
SE21,1.4962,0.001,HH,T1
SE22,2.3849,0.043,HH,T1
SE23,2.0992,0.007,HH,T1
SE31,1.0421,0.017,HH,T1
HU23,0.7296,0.043,LL,T1
HU31,0.6732,0.096,ns,T1
HU32,0.7437,0.033,LL,T1
HU33,0.7336,0.007,LL,T1
IE04,0.9438,0.045,HH,T1
IE05,0.9337,0.045,HH,T1
IE06,1.3364,0.161,ns,T1
ITC1,0.3709,0.172,ns,T1
ITC2,0.1424,0.434,ns,T1
ITC3,0.5229,0.15,ns,T1
ITC4,0.4686,0.028,LL,T1
ITF1,1.4324,0.024,LL,T1
ITF2,2.1622,0.002,LL,T1
ITF3,2.352,0.001,LL,T1
ITF4,3.0864,0.002,LL,T1
ITF5,3.2475,0.001,LL,T1
ES53,0.0,0.001,HL,T1
ES61,0.124,0.083,ns,T1
ES62,0.0207,0.426,ns,T1
ES63,-0.0,0.001,LL,T1
ES64,-0.0,0.001,LL,T1
ES70,-0.0,0.001,LL,T1
FI19,1.3105,0.102,ns,T1
FI1B,2.5537,0.192,ns,T1
FI1C,1.607,0.004,HH,T1
FI1D,0.8763,0.039,HH,T1
FI20,0.0,0.001,HL,T1
FR10,-0.742,0.183,ns,T1
PL71,0.2471,0.068,ns,T1
PL72,0.3324,0.186,ns,T1
PL81,0.4326,0.07,ns,T1
PL82,0.3065,0.137,ns,T1
PL84,0.4415,0.093,ns,T1
PL91,-1.512,0.263,ns,T1
PL92,0.2658,0.195,ns,T1
PT11,0.268,0.265,ns,T1
PT15,0.7629,0.118,ns,T1
PT16,0.8042,0.08,ns,T1
PT17,0.9975,0.02,LL,T1
PT18,1.0016,0.048,LL,T1
PT20,-0.0,0.001,LL,T1
PT30,-0.0,0.001,LL,T1
RO11,1.4642,0.002,LL,T1
RO12,1.774,0.001,LL,T1
RO21,2.4793,0.003,LL,T1
RO22,2.5002,0.001,LL,T1
RO31,2.0692,0.001,LL,T1
RO32,-1.0119,0.034,HL,T1
RO41,2.3826,0.001,LL,T1
RO42,1.4318,0.006,LL,T1
SE11,4.3633,0.089,ns,T1
SE32,0.5785,0.167,ns,T1
SE33,0.5334,0.129,ns,T1
SI03,0.0279,0.306,ns,T1
SI04,-0.2024,0.263,ns,T1
SK01,-0.4306,0.35,ns,T1
SK02,0.1117,0.317,ns,T1
SK03,0.3491,0.082,ns,T1
SK04,0.5106,0.072,ns,T1
NL12,0.7395,0.007,HH,T1
NL13,0.5043,0.098,ns,T1
NL21,0.721,0.057,ns,T1
NL22,1.1452,0.004,HH,T1
NL23,1.3498,0.007,HH,T1
NL31,1.2836,0.005,HH,T1
NL32,1.5827,0.035,HH,T1
NL33,1.2758,0.005,HH,T1
NL34,0.5831,0.019,HH,T1
NL41,1.4926,0.028,HH,T1
NL42,0.8123,0.022,HH,T1
PL21,-0.0886,0.086,ns,T1
PL22,0.0172,0.104,ns,T1
PL41,0.1915,0.175,ns,T1
PL42,0.0963,0.308,ns,T1
PL43,-0.0248,0.46,ns,T1
PL51,-0.1805,0.124,ns,T1
PL52,0.224,0.256,ns,T1
PL61,0.3296,0.122,ns,T1
PL62,0.4436,0.176,ns,T1
PL63,-0.0942,0.107,ns,T1
HR05,-0.6305,0.3,ns,T1
HR06,0.2019,0.242,ns,T1
CZ05,0.1409,0.306,ns,T2
CZ06,0.0787,0.134,ns,T2
CZ07,0.3605,0.079,ns,T2
CZ08,0.3516,0.137,ns,T2
DE11,1.4265,0.008,HH,T2
DE12,1.5063,0.004,HH,T2
DE13,0.8887,0.05,ns,T2
DE14,1.2301,0.007,HH,T2
DE21,1.3071,0.035,HH,T2
DE22,0.1079,0.087,ns,T2
DE23,0.1788,0.249,ns,T2
DE24,0.0673,0.21,ns,T2
DE25,1.1818,0.012,HH,T2
DE26,0.5854,0.013,HH,T2
DE27,0.7787,0.004,HH,T2
DE30,0.5455,0.401,ns,T2
DEC0,0.0667,0.178,ns,T2
DED2,-0.1265,0.336,ns,T2
DED4,0.0167,0.366,ns,T2
DED5,0.2234,0.246,ns,T2
DEE0,-0.0491,0.11,ns,T2
DEF0,0.2794,0.081,ns,T2
DEG0,0.1296,0.16,ns,T2
DK01,2.6921,0.174,ns,T2
AT31,0.4671,0.083,ns,T2
AT32,0.3164,0.075,ns,T2
AT33,0.1815,0.155,ns,T2
CY00,0.0,0.001,HL,T2
CZ01,-0.4301,0.417,ns,T2
CZ02,0.0686,0.277,ns,T2
CZ03,-0.0661,0.399,ns,T2
CZ04,-0.0174,0.486,ns,T2
DK03,1.1479,0.071,ns,T2
DK04,1.6983,0.064,ns,T2
DK05,1.5471,0.048,HH,T2
EE00,0.0548,0.48,ns,T2
EL30,-0.2665,0.07,ns,T2
EL41,-0.0,0.001,LL,T2
DE40,0.1025,0.175,ns,T2
DE50,0.2338,0.229,ns,T2
DE60,0.5068,0.295,ns,T2
DE71,0.8435,0.034,HH,T2
DE72,0.2473,0.187,ns,T2
DE73,0.0094,0.04,HH,T2
DE80,-0.0033,0.334,ns,T2
DE91,0.2772,0.194,ns,T2
DE92,0.3781,0.126,ns,T2
AT11,0.1259,0.228,ns,T2
AT12,0.2672,0.114,ns,T2
AT13,0.9908,0.256,ns,T2
AT21,0.0326,0.433,ns,T2
AT22,0.3688,0.135,ns,T2
ES51,0.0833,0.344,ns,T2
ES52,0.1021,0.3,ns,T2
AT34,0.6802,0.092,ns,T2
BE10,1.739,0.07,ns,T2
BE21,0.6313,0.047,HH,T2
BE22,0.1913,0.03,HH,T2
BE23,0.3733,0.12,ns,T2
BE24,1.0207,0.032,HH,T2
BE25,0.0398,0.352,ns,T2
BE31,0.789,0.158,ns,T2
BE32,-0.0154,0.083,ns,T2
BE33,0.1705,0.017,HH,T2
BE34,0.018,0.399,ns,T2
BE35,0.0585,0.247,ns,T2
BG31,1.8675,0.001,LL,T2
BG32,1.8891,0.001,LL,T2
BG33,1.2329,0.002,LL,T2
BG34,1.3172,0.008,LL,T2
BG41,-0.3565,0.021,HL,T2
BG42,0.939,0.052,ns,T2
LT02,0.0078,0.369,ns,T2
LU00,0.0476,0.451,ns,T2
LV00,0.0286,0.231,ns,T2
MT00,-0.0,0.001,LL,T2
NL11,0.1635,0.318,ns,T2
EL42,-0.0,0.001,LL,T2
EL43,-0.0,0.001,LL,T2
EL51,0.356,0.252,ns,T2
EL52,0.2088,0.099,ns,T2
EL53,0.7995,0.113,ns,T2
EL54,0.8772,0.022,LL,T2
DK02,2.6921,0.006,HH,T2
ITG2,-0.0,0.001,LL,T2
ITH1,0.2966,0.264,ns,T2
ITH2,0.7633,0.056,ns,T2
ITH3,0.3692,0.15,ns,T2
ITH4,0.0105,0.491,ns,T2
ITH5,0.5452,0.009,LL,T2
ITI1,0.7764,0.03,LL,T2
ITI2,0.8941,0.074,ns,T2
ITI3,0.9078,0.028,LL,T2
ITI4,0.4644,0.001,LL,T2
LT01,0.0843,0.48,ns,T2
DE93,0.1614,0.072,ns,T2
DE94,0.085,0.062,ns,T2
DEA1,0.4089,0.084,ns,T2
DEA2,0.3766,0.215,ns,T2
DEA3,0.1518,0.094,ns,T2
DEA4,0.2382,0.154,ns,T2
DEA5,0.1796,0.092,ns,T2
DEB1,0.1188,0.029,HH,T2
DEB2,-0.0454,0.126,ns,T2
DEB3,0.6015,0.104,ns,T2
FRB0,0.0354,0.325,ns,T2
FRC1,-0.1015,0.162,ns,T2
FRC2,-0.0006,0.487,ns,T2
FRD1,-0.0185,0.37,ns,T2
FRD2,-0.0272,0.196,ns,T2
FRE1,0.0011,0.486,ns,T2
FRE2,-0.0186,0.315,ns,T2
FRF1,0.0653,0.059,ns,T2
FRF2,-0.1,0.298,ns,T2
FRF3,-0.0646,0.214,ns,T2
FRG0,0.014,0.462,ns,T2
FRH0,0.0175,0.469,ns,T2
FRI1,0.1037,0.274,ns,T2
FRI2,-0.0797,0.224,ns,T2
FRI3,-0.0337,0.384,ns,T2
FRJ1,0.1203,0.096,ns,T2
FRJ2,0.1602,0.376,ns,T2
FRK1,0.063,0.208,ns,T2
FRK2,-0.2183,0.261,ns,T2
FRL0,-0.0855,0.35,ns,T2
FRM0,-0.0,0.001,LL,T2
FRY1,-0.0,0.001,LL,T2
FRY2,-0.0,0.001,LL,T2
FRY3,-0.0,0.001,LL,T2
FRY4,-0.0,0.001,LL,T2
FRY5,-0.0,0.001,LL,T2
HR03,0.251,0.259,ns,T2
HR02,0.916,0.031,LL,T2
HU11,-0.4119,0.409,ns,T2
HU12,0.2037,0.036,LL,T2
HU21,1.0757,0.014,LL,T2
HU22,0.3851,0.177,ns,T2
ITF6,2.7017,0.06,ns,T2
ITG1,-0.0,0.001,LL,T2
EL61,0.826,0.019,LL,T2
EL62,-0.0,0.001,LL,T2
EL63,1.1737,0.028,LL,T2
EL64,0.639,0.14,ns,T2
EL65,0.5353,0.236,ns,T2
ES11,0.0249,0.401,ns,T2
ES12,0.0041,0.379,ns,T2
ES13,-0.0148,0.397,ns,T2
ES21,-0.0235,0.478,ns,T2
ES22,0.0248,0.383,ns,T2
ES23,-0.0461,0.406,ns,T2
ES24,-0.0106,0.426,ns,T2
ES30,-0.3614,0.254,ns,T2
ES41,0.0423,0.291,ns,T2
ES42,0.1886,0.227,ns,T2
