,scenario_T1,n_gates_T1,gates_passed_T1,scenario_T2,n_gates_T2,gates_passed_T2,scenario_T3,n_gates_T3,gates_passed_T3,scenario_T4,n_gates_T4,gates_passed_T4,scenario_T5,n_gates_T5,gates_passed_T5,scenario_T6,n_gates_T6,gates_passed_T6,scenario_T7,n_gates_T7,gates_passed_T7,scenario_T8,n_gates_T8,gates_passed_T8
AT11,none,2,2,none,2,2,none,2,2,A_near_term,1,1,none,3,3,none,2,1,none,2,2,none,1,1
AT12,none,2,2,none,2,2,none,2,2,B_medium_term,1,1,none,3,3,none,2,1,none,2,2,none,1,1
AT13,B_medium_term,2,2,A_near_term,2,2,none,2,2,none,1,1,none,3,3,none,2,1,B_medium_term,2,2,none,1,1
AT21,none,2,2,none,2,2,none,2,2,A_near_term,1,1,none,3,3,none,2,1,B_medium_term,2,2,none,1,1
AT22,none,2,1,none,2,2,none,2,2,B_medium_term,1,1,none,3,3,none,2,1,B_medium_term,2,2,none,1,1
AT31,none,2,1,none,2,2,none,2,2,B_medium_term,1,1,none,3,3,none,2,1,none,2,2,none,1,1
AT32,none,2,2,none,2,2,none,2,2,B_medium_term,1,1,none,3,3,none,2,1,none,2,2,none,1,1
AT33,none,2,1,none,2,2,none,2,2,B_medium_term,1,1,none,3,3,none,2,1,none,2,2,none,1,1
AT34,none,2,2,none,2,2,none,2,2,B_medium_term,1,1,B_medium_term,3,3,none,2,1,none,2,2,B_medium_term,1,1
BE10,B_medium_term,2,2,B_medium_term,2,2,B_medium_term,2,1,none,1,0,none,3,2,B_medium_term,2,2,none,2,1,none,1,1
BE21,none,2,2,none,2,2,none,2,1,none,1,0,none,3,2,A_near_term,2,2,none,2,1,none,1,1
BE22,none,2,2,none,2,2,none,2,1,none,1,0,none,3,2,B_medium_term,2,2,none,2,1,none,1,1
BE23,none,2,2,none,2,2,none,2,1,none,1,0,none,3,2,B_medium_term,2,2,none,2,1,none,1,1
BE24,A_near_term,2,2,A_near_term,2,2,none,2,1,none,1,0,none,3,2,B_medium_term,2,2,B_medium_term,2,1,B_medium_term,1,1
BE25,none,2,2,none,2,2,none,2,1,none,1,0,none,3,2,B_medium_term,2,2,none,2,1,none,1,1
BE31,A_near_term,2,2,A_near_term,2,2,C_long_term,2,1,none,1,0,none,3,2,B_medium_term,2,2,C_long_term,2,1,B_medium_term,1,1
BE32,none,2,2,none,2,2,none,2,1,none,1,0,none,3,2,B_medium_term,2,2,none,2,1,none,1,1
BE33,none,2,2,none,2,2,none,2,1,none,1,0,none,3,2,A_near_term,2,2,none,2,1,none,1,1
BE34,none,2,2,none,2,2,none,2,1,none,1,0,none,3,2,B_medium_term,2,2,none,2,1,none,1,1
BE35,none,2,1,none,2,2,none,2,1,none,1,0,none,3,2,B_medium_term,2,2,none,2,1,none,1,1
BG31,none,2,0,none,2,0,none,2,1,A_near_term,1,1,none,3,1,none,2,1,none,2,0,none,1,0
BG32,none,2,0,none,2,0,none,2,1,B_medium_term,1,1,none,3,1,none,2,1,none,2,1,none,1,0
