country_code,ntc_import_mw_approx,ntc_export_mw_approx,reference_year,source,uncertainty
AT,7200,7200,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
BE,6500,5400,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
BG,3100,3100,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
CY,0,0,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
CZ,5200,5800,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
DE,20000,19000,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
DK,5800,5800,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
EE,1300,1300,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
ES,3400,3800,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
FI,5800,5800,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
FR,12000,11000,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
GR,3600,2800,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
HR,2400,2400,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
HU,4500,4500,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
IE,1500,1200,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
IT,9400,7400,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
LT,1700,1700,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
LU,2800,2800,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
LV,1500,1500,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
MT,200,0,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
NL,8300,7800,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
PL,5400,4800,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
PT,3000,2800,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
RO,4800,5000,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
SE,9200,9200,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
SI,3100,3100,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
SK,3400,3400,2022,"ENTSO-E Statistical Yearbook 2022, hardcoded approximation",moderate
