DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AL,2018,82.79,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AL,2019,85.45,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AL,2020,87.15,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AL,2021,90.87,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2006,33.12,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2007,46.15,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2008,54.50,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2009,57.80,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2010,63.70,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2011,71.98,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2012,77.41,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2013,79.79,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2014,79.38,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2015,80.91,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2016,85.09,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2017,88.38,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2018,87.69,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2019,89.33,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2020,89.29,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT,2021,91.01,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2006,38.34,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2007,50.81,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2008,56.88,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2009,60.98,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2010,65.27,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2011,73.64,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2012,78.57,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2013,79.00,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2014,79.86,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2015,82.80,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2016,85.65,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2017,88.55,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2018,87.61,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2019,90.95,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2020,90.92,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT1,2021,91.64,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2006,28.72,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2007,,u,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2008,56.72,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2009,54.65,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2010,62.87,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2011,67.31,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2012,73.06,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2013,78.42,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2014,80.23,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2016,82.54,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2017,85.05,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2018,88.81,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2019,87.01,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2020,86.45,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT11,2021,90.70,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2006,31.53,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2007,46.25,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2008,52.22,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2009,56.83,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2010,62.20,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2011,73.86,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2012,75.34,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2013,74.12,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2014,76.17,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2016,82.53,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2017,88.86,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2018,84.54,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2019,91.01,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2020,90.40,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT12,2021,90.70,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2006,44.83,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2007,55.23,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2008,60.56,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2009,65.09,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2010,68.00,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2011,74.31,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2012,81.78,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2013,82.83,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2014,82.61,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2016,88.45,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2017,88.77,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2018,89.81,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2019,91.43,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2020,91.94,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT13,2021,92.49,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2006,25.06,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2007,40.44,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2008,50.44,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2009,50.00,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2010,60.88,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2011,66.70,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2012,76.50,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2013,79.21,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2014,76.71,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2015,78.34,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2016,82.86,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2017,88.26,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2018,85.98,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2019,85.30,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2020,85.29,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT2,2021,89.58,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2006,22.03,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2007,36.64,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2008,47.16,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2009,51.77,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2010,57.13,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2011,66.22,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2012,75.63,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2013,74.71,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2014,73.49,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2016,83.75,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2017,84.75,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2018,84.38,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2019,87.09,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2020,84.95,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT21,2021,89.48,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2006,26.53,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2007,42.28,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2008,51.99,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2009,49.16,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2010,62.65,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2011,66.92,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2012,76.91,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2013,81.32,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2014,78.22,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2016,82.45,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2017,89.88,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2018,86.71,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2019,84.49,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2020,85.44,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT22,2021,89.63,,
ESTAT:ISOC_R_BROAD_H(1.0),16/06/24 23:00:00,A,PC_HH,AT3,2006,30.94,,
