dataflow,last update,freq,unit,wstatus,nace_r2,geo,time_period,obs_value,obs_flag,conf_status
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2000,400.89,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2001,403.18,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2002,392.59,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2003,375.95,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2004,360.41,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2005,353.5,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2006,352.22,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2007,361.88,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2008,363.57,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2009,317.19,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2010,289.02,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2011,288.85,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2012,283.33,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2013,278.24,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2014,276.77,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2015,280.06,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2016,284.56,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2017,290.04,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2018,290.19,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2019,291.05,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2020,285.26,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2021,291.52,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2022,304.43,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2023,310.76,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK,2024,318.0,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2000,15.65,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2001,14.93,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2002,14.56,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2003,14.66,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2004,14.15,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2005,13.23,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2006,12.55,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2007,12.99,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2008,12.91,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2009,12.51,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2010,11.09,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2011,11.96,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2012,12.25,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2013,11.05,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2014,10.7,,
ESTAT:NAMA_10R_3EMPERS(1.0),31/07/26 23:00:00,A,THS,EMP,C,DK011,2015,10.5,,
