DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2000,5.551,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2001,5.473,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2002,5.701,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2003,6.029,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2004,5.989,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2005,6.044,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2006,6.581,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2007,6.101,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2008,5.578,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2009,5.959,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2010,5.974,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2011,5.814,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT,2012,5.062,p,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2000,3.97,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2001,4.228,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2002,4.533,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2003,5.254,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2004,5.051,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2005,5.043,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2006,5.846,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2007,4.99,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2008,3.964,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2009,3.905,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2010,3.764,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2011,3.762,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT1,2012,3.438,p,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT11,2000,3.957,,
ESTAT:PAT_EP_RTOT(1.0),29/04/16 23:00:00,A,GDP_BEUR,AT11,2001,2.723,,
