DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL,2021,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL,2022,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL,2023,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL,2024,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL,2025,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL,2026,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL0,2021,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL0,2022,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL0,2023,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL0,2024,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL0,2025,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL0,2026,28106,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL01,2021,10509,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL01,2022,10509,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL01,2023,10509,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL01,2024,10509,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL01,2025,10509,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL01,2026,10509,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL011,2021,1638,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL011,2022,1638,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL011,2023,1638,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL011,2024,1638,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL011,2025,1638,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL011,2026,1638,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL012,2021,3315,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL012,2022,3315,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL012,2023,3315,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL012,2024,3315,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL012,2025,3315,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL012,2026,3315,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL013,2021,2455,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL013,2022,2455,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL013,2023,2455,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL013,2024,2455,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL013,2025,2455,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL013,2026,2455,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL014,2021,2339,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL014,2022,2339,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL014,2023,2339,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL014,2024,2339,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL014,2025,2339,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL014,2026,2339,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL015,2021,762,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL015,2022,762,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL015,2023,762,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL015,2024,762,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL015,2025,762,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL015,2026,762,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL02,2021,4934,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL02,2022,4934,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL02,2023,4934,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL02,2024,4934,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL02,2025,4934,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL02,2026,4934,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL021,2021,3293,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL021,2022,3293,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL021,2023,3293,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL021,2024,3293,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL021,2025,3293,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL021,2026,3293,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL022,2021,1641,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL022,2022,1641,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL022,2023,1641,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL022,2024,1641,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL022,2025,1641,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL022,2026,1641,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL03,2021,12663,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL03,2022,12663,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL03,2023,12663,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL03,2024,12663,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL03,2025,12663,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL03,2026,12663,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL031,2021,1809,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL031,2022,1809,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL031,2023,1809,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL031,2024,1809,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL031,2025,1809,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL031,2026,1809,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL032,2021,2863,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL032,2022,2863,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL032,2023,2863,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL032,2024,2863,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL032,2025,2863,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL032,2026,2863,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL033,2021,2629,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL033,2022,2629,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL033,2023,2629,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL033,2024,2629,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL033,2025,2629,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL033,2026,2629,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL034,2021,1787,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL034,2022,1787,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL034,2023,1787,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL034,2024,1787,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL034,2025,1787,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL034,2026,1787,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL035,2021,3575,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL035,2022,3575,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL035,2023,3575,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL035,2024,3575,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL035,2025,3575,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AL035,2026,3575,e,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT,2013,82515,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,AT,2014,82515,,
