DATAFLOW,LAST UPDATE,freq,unit,c_unload,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AF,EE,EE,2020,20,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AF,EEXX,EE,2010,0,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AF,FIXX,FI,2010,61,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AF,LV,LV,2010,116914,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AF,LV,LV,2015,42,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AF,LV,LV,2020,9,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AF,PL31,PL,2005,1000,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,AT12,AT,2015,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,AT12,AT,2020,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,AT13,AT,2015,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,AT21,AT,2010,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,AT22,AT,2010,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,AT31,AT,2015,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,AT34,AT,2010,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,AT34,AT,2015,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,BG41,BG,2010,21573,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,BG41,BG,2015,3961,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,CZ02,CZ,2010,320,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,CZ06,CZ,2010,2090,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,CZ07,CZ,2010,30,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,CZ08,CZ,2005,30,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,DE94,DE,2010,1215,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,HR01,HR,2010,856,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,HR02,HR,2010,3744,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,HR03,HR,2010,1248,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,HU10,HU,2010,4251,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,HU21,HU,2010,788,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,HU22,HU,2010,1057,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,HU23,HU,2010,4240,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,HU31,HU,2010,197,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,HU32,HU,2010,6749,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,HU33,HU,2010,4282,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,ITC4,IT,2010,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,ITD3,IT,2010,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,PL41,PL,2005,1003,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,PL51,PL,2005,17,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,PL51,PL,2010,20,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,SI03,SI,2015,290,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,SI04,SI,2015,29,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,SK02,SK,2015,22,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,SK03,SK,2015,801,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AL,SK04,SK,2015,95,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,ALXX,PL81,PL,2020,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,ALXX,SI03,SI,2020,158,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,AT12,AT,2005,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,BG31,BG,2010,197,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,BG33,BG,2010,192,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,BG34,BG,2010,1250,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,BG42,BG,2010,64,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,EE,EE,2005,300,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,EEXX,EE,2010,0,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,FIXX,FI,2010,159,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,HU32,HU,2010,1668,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,LT,LT,2010,283,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,LT,LT,2020,18,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,LV,LV,2010,180,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,LV,LV,2015,219,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,PL31,PL,2005,1415,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,PL31,PL,2010,989,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,PL32,PL,2005,384,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AM,PL32,PL,2010,195,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AR,LT,LT,2005,281,,
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT11,AT,2005,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT11,AT,2020,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT12,AT,2005,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT12,AT,2010,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT12,AT,2015,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT12,AT,2020,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT13,AT,2005,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT13,AT,2010,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT13,AT,2015,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT13,AT,2020,,,C
ESTAT:TRAN_R_RAGO(1.0),14/01/26 23:00:00,A,T,AT11,AT21,AT,2005,,,C
