DATAFLOW,LAST UPDATE,freq,unit,c_unload,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CH02,CH,2010,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CH04,CH,2010,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CH05,CH,2010,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CH05,CH,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CH05,CH,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ01,CZ,2005,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ01,CZ,2010,90,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ01,CZ,2015,201,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ01,CZ,2020,5,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ02,CZ,2015,1,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ02,CZ,2020,1,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ03,CZ,2015,16,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ03,CZ,2020,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ04,CZ,2015,1,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ05,CZ,2010,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ05,CZ,2015,8,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ06,CZ,2005,20,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ06,CZ,2010,40,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ06,CZ,2015,79,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ06,CZ,2020,50,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ07,CZ,2015,7,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ07,CZ,2020,12,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ08,CZ,2005,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ08,CZ,2015,20,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,CZ08,CZ,2020,7,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE11,DE,2005,50,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE12,DE,2005,44,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE13,DE,2005,13,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE14,DE,2005,28,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE21,DE,2005,112,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE22,DE,2005,7,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE23,DE,2005,15,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE24,DE,2005,9,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE25,DE,2005,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE26,DE,2005,25,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE27,DE,2005,18,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE30,DE,2005,6,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE42,DE,2005,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE50,DE,2005,3,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE60,DE,2005,3,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE71,DE,2005,26,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE72,DE,2005,9,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE73,DE,2005,4,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE80,DE,2005,3,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE91,DE,2005,4,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE92,DE,2005,13,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE93,DE,2005,4,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE94,DE,2005,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEA2,DE,2005,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEA3,DE,2005,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEA5,DE,2005,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEB1,DE,2005,12,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEB3,DE,2005,9,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEC0,DE,2005,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DED1,DE,2005,6,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DED2,DE,2005,6,,
