country_code,wei2_value,stress_class,reference_period,source,nuts_level
AT,0.08,low,2015-2020,EEA WEI2 indicator,country
BE,0.25,medium,2015-2020,EEA WEI2 indicator,country
BG,0.28,medium,2015-2020,EEA WEI2 indicator,country
CY,0.52,severe,2015-2020,EEA WEI2 indicator,country
CZ,0.18,low,2015-2020,EEA WEI2 indicator,country
DE,0.13,low,2015-2020,EEA WEI2 indicator,country
DK,0.12,low,2015-2020,EEA WEI2 indicator,country
EE,0.03,low,2015-2020,EEA WEI2 indicator,country
ES,0.31,medium,2015-2020,EEA WEI2 indicator,country
FI,0.03,low,2015-2020,EEA WEI2 indicator,country
FR,0.17,low,2015-2020,EEA WEI2 indicator,country
GR,0.25,medium,2015-2020,EEA WEI2 indicator,country
HR,0.05,low,2015-2020,EEA WEI2 indicator,country
HU,0.14,low,2015-2020,EEA WEI2 indicator,country
IE,0.04,low,2015-2020,EEA WEI2 indicator,country
IT,0.29,medium,2015-2020,EEA WEI2 indicator,country
LT,0.07,low,2015-2020,EEA WEI2 indicator,country
LU,0.07,low,2015-2020,EEA WEI2 indicator,country
LV,0.04,low,2015-2020,EEA WEI2 indicator,country
MT,0.55,severe,2015-2020,EEA WEI2 indicator,country
NL,0.10,low,2015-2020,EEA WEI2 indicator,country
PL,0.20,medium,2015-2020,EEA WEI2 indicator,country
PT,0.24,medium,2015-2020,EEA WEI2 indicator,country
RO,0.14,low,2015-2020,EEA WEI2 indicator,country
SE,0.03,low,2015-2020,EEA WEI2 indicator,country
SI,0.06,low,2015-2020,EEA WEI2 indicator,country
SK,0.13,low,2015-2020,EEA WEI2 indicator,country
