country_code,ease_of_doing_business_score,ease_of_doing_business_rank,reference_year,source
AT,78.3,27,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
BE,74.3,46,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
BG,72.0,61,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
CY,73.1,54,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
CZ,76.3,41,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
DE,79.7,22,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
DK,85.3,4,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
EE,80.6,18,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
ES,76.0,30,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
FI,80.2,20,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
FR,76.8,32,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
GR,72.0,79,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
HR,73.6,51,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
HU,73.4,52,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
IE,79.5,24,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
IT,72.9,58,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
LT,76.7,11,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
LU,76.4,72,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
LV,74.0,19,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
MT,74.3,88,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
NL,78.7,42,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
PL,76.4,40,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
PT,76.5,39,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
RO,73.3,55,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
SE,82.0,10,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
SI,74.9,37,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
SK,75.6,45,2020,"World Bank DB2020, datacatalog.worldbank.org/search/dataset/0038811"
